Date,Stock,Qty,UnitPrice,Amt,Type,Notes
2016-06-24,EXIDE,200,166,,SOLD,
2016-06-03,HPCL,135,926,,SOLD,
2016-06-03,COAL IND,100,310,,SOLD,
2016-06-01,TCS,15,2640,,SOLD,
2016-05-31,SBI,100,205.1,,SOLD,
2016-05-11,VOLTAS,50,318,,SOLD,
2016-05-04,LIC,150,454.7,,,
2016-04-27,VOLTAS,50,302,,SOLD,
2016-04-27,TATA ST,50,357,,SOLD,
2016-04-27,BLUE STAR,42,434.6,,SOLD,
2016-04-04,HIND ZINC,550,174,,SOLD,
2016-04-04,TATA ST,150,322,,SOLD,
2016-04-04,EXIDE,174,138,,,
2016-03-28,NTPC,,,296.38,DIV,
2016-03-28,BLUE STAR,,,650,DIV,
2016-03-21,COAL IND,,,4658,DIV,
2016-03-21,HPCL,,,1645,DIV,
2016-03-21,ONGC,,,413,DIV,
2016-03-01,LIC,50,439.25,,,
2016-03-01,VOLTAS,100,233,,X,
2016-03-01,CENTURY,100,435.9,,,
2016-03-01,BLUE STAR,100,320,,,
2016-02-18,HPCL,,,2702.5,DIV,
2016-02-15,NTPC,,,443.2,DIV,
2016-01-29,TCS,,,137.5,DIV,
2016-01-25,TATA POW,681,61.05,,SOLD,
2016-01-25,L&T FIN,600,56.6,,SOLD,
2016-01-25,CENTURY,100,506.25,,SOLD,
2016-01-25,ADANI POWER,1350,26.55,,SOLD,
2016-01-25,MARUTI,13,3930,,,
2016-01-25,HDFC,40,1131.15,,,
2016-01-25,HPCL,35,794.5,,,
2016-01-25,COAL IND,170,293.1,,,
2016-01-25,CAN BANK,250,175.5,,SOLD,
2016-01-25,AND BANK,300,50.85,,SOLD,
2016-01-13,L&T,15,1191.55,,,
2016-01-13,SBI,100,204.8,,,
2015-12-21,ADANI POWER,750,30.65,,SOLD,
2015-12-16,VOLTAS,100,304,,SOLD,
2015-11-13,ONGC,,,2475,DIV,
2015-11-13,EXIDE,,,560,DIV,
2015-11-10,HPCL,50,748.25,,,
2015-11-10,EICHER,1,16010,,,
2015-11-02,HUL,,,1300,DIV,
2015-10-30,HIND ZINC,,,3990,DIV,
2015-10-30,TCS,,,137.5,DIV,
2015-10-12,TATA MOTORS,50,360,,,
2015-09-24,ONGC,150,229.35,,,
2015-09-22,NTPC,,,484.75,DIV,
2015-09-22,IDEA,,,60,DIV,
2015-09-22,ONGC,,,200,DIV,
2015-09-11,HPCL,,,3675,DIV,
2015-09-11,L&T FIN,,,560,DIV,
2015-09-11,L&T,,,650,DIV,
2015-08-28,EICHER,3,18500,,,
2015-08-28,HPCL,100,796.74,,,
2015-08-28,CENTURY,100,538,,,
2015-08-28,ALOK,1500,5.85,,SOLD,
2015-08-28,ADANI POWER,500,21.5,,SOLD,
2015-08-12,HUL,50,870,,,
2015-08-12,HPCL,50,883,,,
2015-08-14,LIC,,,1000,DIV,
2015-08-14,TATA ST,,,2400,DIV,
2015-08-12,EXIDE,,,245,DIV,
2015-08-07,HIND ZINC,350,155,,X,
2015-08-10,HIND ZINC,300,155,,,
2015-08-07,TATA POW,,,1300,DIV,
2015-08-07,VOLTAS,,,225,DIV,
2015-08-07,HPCL,50,975,,SOLD,
2015-08-03,LIC,50,511,,SOLD,
2015-08-03,CAN BANK,100,292,,SOLD,
