Date,Stock,Qty,UnitPrice,Type,Brokerage,Notes,Amount
2008-07-14,HDFCBANK,10,1030,,100,,
2008-07-14,L&T FIN,100,52,,,,
2008-07-16,SBI,5,1130,,,,
2010-08-17,VOLTAS,,,DIV,,,200
2008-08-08,MARUTI,17,575,,,,
2008-08-08,MTNL,70,98.25,,,,
2008-09-01,HDFC,4,2240,,,,
2008-09-08,MTNL,100,83.75,,,,
2008-10-08,ONGC,10,785,,,,
2008-10-08,TATA ST,50,252,,,,
2008-11-08,HDFC,11,1800,,,,
2009-01-05,SUZLON,230,65,,,,
2009-08-17,GVK POWER,200,45,,,,
2009-08-17,SAIL,75,162.3,,,,
2009-08-19,TECHM,15,942.55,,,,
2009-09-23,BALRAM,83,119.5,,,,
2009-09-24,HDFC,4,2705,SOLD,,,
2009-09-24,HDFCBANK,10,1607.1,SOLD,,,
2009-10-09,VOLTAS,100,154.5,,,,
2009-10-09,SBI,5,2320,SOLD,,,
2009-11-17,ONGC,10,1205,SOLD,,,
2009-11-23,HDFC,11,2830,SOLD,,,
2010-01-01,HIND ZINC,110,107,,,,
2010-01-01,LIC,100,150,,,,
2010-01-01,TATA MOTORS,100,143.4,,,,
2010-02-05,SATYAM,100,96,,,,
2010-02-05,SBI,100,187.5,,,,
2010-04-05,TATA ST,40,670.4,SOLD,,,
2010-04-27,MARUTI,10,1286,,,,
2010-05-10,HIND ZINC,150,98.4,,,,
2010-05-15,GVK POWER,280,43,,,,
2010-05-15,HIND ZINC,120,109.5,,,,
2010-06-10,TATA ST,50,466,,,,
2010-08-10,NTPC,77,194,,,,
2010-10-07,MARUTI,7,1520,SOLD,,,
2010-10-20,HDFC,36,701,,,,
2010-11-03,VOLTAS,50,248,SOLD,,,
2010-11-03,VOLTAS,50,255,SOLD,,,
2010-11-11,POWERG,70,85.5,,,,
2010-11-25,NTPC,100,178,,,,
2010-11-25,SATYAM,200,66,,,,
2010-12-08,AND BANK,100,147,,,,
2011-01-01,CROM GREAVES,100,263,,,,
2011-01-12,AND BANK,200,133,,,,
2011-02-05,VOLTAS,150,173,,,,
2011-02-11,GVK POWER,500,30.5,,,,
2011-02-25,TATA POW,100,117,,,,
2011-02-28,M&M,35,600,,,,
2011-05-05,BHEL,50,398,,,,
2011-05-18,GVK POWER,650,22.8,,,,
2011-05-25,SBI,150,221,,,,
2011-06-11,HINDAL,120,170,,,,
2011-06-11,SAIL,150,136,,,,
2011-08-01,CROM GREAVES,100,144.5,,,,
2011-08-11,ALOK,750,20,,,,
2011-08-11,SBI,100,192.9,,,,
2011-08-11,TATA POW,200,103.4,,,,
2011-08-11,VOLTAS,150,129,,,,
2011-08-24,VOLTAS,100,114.5,,,,
2011-08-24,ALOK,1000,17.5,,,,
2011-08-24,GVK POWER,500,17.5,,,,
2011-08-24,SAIL,150,110,,,,
2011-09-01,L&T,5,1415,,,,
2011-09-01,TATA ST,100,433,,,,
2011-10-01,BHEL,50,320,,,,
2011-11-11,LIC,50,238,SOLD,,,
2011-12-01,L&T,10,1193.3,,,,
2012-01-01,IDFC INFRA,4,5000,,,,
2012-02-01,LIC,25,270,SOLD,,,
2012-02-01,TATA MOTORS,50,251,SOLD,,,
2012-03-12,TATA MOTORS,10,290,SOLD,,,
2012-03-27,ONGC,50,266.5,,,,
2012-03-27,VOLTAS,100,114,,,,
2012-05-01,HDFCBANK,20,519.9,,,,
2012-05-01,HINDAL,200,113,,,,
2012-05-12,ASHOK,500,28.2,,,,
2012-05-15,ASHOK,300,26,,,,
2012-05-15,HDFCBANK,30,505,,,,
2012-06-01,L&T,5,0,,,,
2012-06-01,L&T,20,1138,,,,
2012-07-26,ASHOK,900,22.5,,,,
2012-07-26,HINDAL,100,114,,,,
2012-08-01,AND BANK,200,99.85,,,,
2012-08-01,POWERG,30,119.045,,,,
2012-08-12,BALRAM,33,68,SOLD,,,
2012-09-10,SATYAM,150,106,SOLD,,,
2012-09-25,SAIL,175,90,,,,
2012-09-25,LIC,10,282,SOLD,,,
2012-10-10,ALOK,1750,12.67,,,,
2012-10-12,L&T,5,1655,SOLD,,,
2012-11-15,HDFC,16,785,SOLD,,,
2012-11-15,M&M,35,900,SOLD,,,
2012-11-19,MARUTI,10,1502.65,SOLD,,,
2012-12-07,L&T,10,1688,SOLD,,,
2012-12-07,MARUTI,10,1530,SOLD,,,
2012-12-18,CROM GREAVES,200,115,,,,
2012-12-18,LIC,15,283.15,SOLD,,,
2013-01-10,TATA MOTORS,25,329,SOLD,,,
2013-02-05,BHEL,150,212.5,,,,
2013-02-05,VOLTAS,250,96.5,,,,
2013-02-18,LIC,200,248.95,,,,
2013-02-22,HUL,150,459,,,,
2013-03-01,BHEL,100,200,,,,
2013-03-01,LIC,100,235,,,,
2013-03-01,NTPC,100,148.85,,,,
2013-03-01,SUZLON,1000,18.5,,,,
2013-03-07,ADANI POWER,500,48.5,,,,
2013-03-07,GAIL,75,331,,,,
2013-03-08,SATYAM,150,127.05,SOLD,,,
2013-03-11,HDFC,20,835,SOLD,,,
2013-03-20,ADANI POWER,500,44.9,,,,
2013-03-20,LIC,150,223.8,,,,
2013-03-20,GVK POWER,2000,10.15,SOLD,,,
2013-04-05,BALRAM,500,50.5,,,,
2013-04-05,TATA ST,50,307.3,,,,
2013-04-05,TECHM,37,942.55,,,,
2013-04-17,ONGC,20,336,SOLD,,,
2013-04-17,SBI,150,225,SOLD,,,
2013-05-03,HUL,50,580,SOLD,,,
2013-05-07,TATA MOTORS,15,300,SOLD,,,
2013-05-14,HDFCBANK,10,706,SOLD,,,
2013-05-15,HDFCBANK,40,708.75,SOLD,,,
2013-05-15,HUL,100,586.15,SOLD,,,
2013-05-15,L&T FIN,50,83.5,SOLD,,,
2013-05-15,SBI,100,236.7,SOLD,,,
2013-05-20,ADANI POWER,500,52.5,SOLD,,,
2013-05-21,ADANI POWER,250,61.6,SOLD,,,
2013-05-23,HPCL,150,285,,,,
2013-05-24,L&T FIN,300,78.8,,,,
2013-06-17,GAIL,125,298,,,,
2013-06-17,HPCL,100,258.975,,,,
2013-06-27,ADANI POWER,500,39.35,,,,
2013-06-27,ASHOK,1000,19.9,,,,
2013-06-27,CAN BANK,50,350,,,,
2013-07-04,SBI,350,188.5,,,,
2013-07-16,L&T FIN,200,74.75,,,,
2013-07-16,TCS,12,1650,,,,
2013-07-16,ALOK,1000,7.1,SOLD,,,
2013-07-16,BALRAM,550,41.24,SOLD,,,
2013-07-16,MTNL,170,17,SOLD,,,
2013-07-16,SAIL,550,47.164,SOLD,,,
2013-07-18,TATA MOTORS,30,283,,,,
2013-07-25,MARUTI,25,1410,,,,
2013-07-25,ASHOK,1000,14.4,SOLD,,,
