Random,Date,Stock,Qty,UnitPrice,Amt,Brokerage,Type,Notes
-16,2015-07-20,L&T FIN,150, 102.6,, 17.06,SOLD,Taxable
-15,2015-07-10,L&T FIN,500, 87.3,, 382.47,,Taxable 
-14,2015-07-10,ADANI POWER,1000,28.4,,190.28,,
-13,2015-03-27,ADANI POWER,500,46.3,,155.11,,
-12,2015-02-24,ADANI POWER,500,56.75,,196.92,SOLD,
-11,2015-01-23,ADANI POWER,250,50.7,,87.96,SOLD,
-10,2014-09-25,ADANI POWER,1000,45.5,,304.85,,
-9,2014-05-16,ADANI POWER,600,57.13,,229.66,,
-8,2014-04-10,ADANI POWER,250,58,,100.63,SOLD,
-7,2014-04-01,ADANI POWER,250,48,,83.28,SOLD,
-6,2013-06-27,ADANI POWER,500,39.35,19675,131.82,X,
-5,2013-05-21,ADANI POWER,250,61.6,15400,106.88,SOLD,
-4,2013-05-20,ADANI POWER,500,52.5,26250,182.18,SOLD,
,2013-03-30,ADANI POWER,,,100,,DIV,
-3,2013-03-20,ADANI POWER,500,44.9,22450,150.42,X,
-2,2013-03-07,ADANI POWER,500,48.5,24250,162.48,X,
