Random,Date,Stock,Qty,UnitPrice,Amt,Type,Notes
,3-Nov-10,VOLTAS,50,255,12750.00,SOLD,
,17-Aug-10,VOLTAS,,,200.00,DIV,
,10-Jun-10,TATA ST,50,466,23300.00,X,
,5-Apr-10,TATA ST,40,670.4,26816.00,SOLD,
,23-Nov-09,HDFC,11,2830,31130.00,SOLD,
,17-Nov-09,ONGC,10,1205,12050,SOLD,
,24-Sep-09,HDFCBANK,10,1607.1,16071,SOLD,"15,960.00"
,24-Sep-09,HDFC,4,2705,10820,SOLD,"10,744.00"
,9-Oct-09,VOLTAS,100,154.5,15450.00,X,
,9-Oct-09,SBI,5,2320,11600.00,SOLD,clear
,8-Nov-08,HDFC,11,1800,19800.00,,
,8-Oct-08,ONGC,10,785,7850.00,X,
,8-Oct-08,TATA ST,50,252,12600.00,X,
,1-Sep-08,HDFC,4,2240,8960.00,,
,17-Aug-08,SBI,,,123.00,DIV,
,16-Jul-08,SBI,5,1130,5650,X,
,14-Jul-08,HDFCBANK,10,1030,10300,X,
,,,,,,,
